,createdAt,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,typeAccount,Total
territories,,06,13,15,33,34,36,44,59,63,67,75,76,77,78,91,92,93,94,"94', '92",95,
271,2021-11-25,1.0,,,,,3.0,,,,,2.0,,1.0,,,,,1.0,,,8.0
272,2021-11-26,,2.0,,,,,,,,,,,,,,2.0,,,,,4.0
273,2021-11-29,,,,1.0,,2.0,,,1.0,,1.0,,5.0,1.0,,,,,,1.0,12.0
274,2021-11-30,2.0,3.0,,16.0,3.0,2.0,8.0,,,9.0,26.0,,2.0,15.0,,25.0,12.0,9.0,2.0,1.0,135.0
275,2021-12-01,4.0,,,,,,,,,1.0,3.0,2.0,,1.0,1.0,1.0,,1.0,,,14.0
276,2021-12-02,2.0,,,,,,2.0,,,,3.0,,,,,,1.0,3.0,,,11.0
277,2021-12-03,2.0,,,,,,,,,,,,2.0,,,,,,,,4.0
278,2021-12-06,,,,,1.0,,,,,,,,,,,,,2.0,,,3.0
279,2021-12-08,,,,,,2.0,4.0,,,1.0,,1.0,3.0,1.0,,,1.0,2.0,,1.0,16.0
280,2021-12-09,3.0,1.0,,,1.0,,5.0,,,1.0,,,1.0,,2.0,1.0,1.0,1.0,,,17.0
281,2021-12-10,2.0,,,,1.0,,3.0,,,,,,4.0,1.0,,1.0,,,,,12.0
282,2021-12-11,,,,,,,,,,,,,,,,2.0,,,,,2.0
283,2021-12-13,4.0,3.0,,1.0,,,2.0,,,1.0,,,,,,2.0,,1.0,,,14.0
284,2021-12-14,1.0,,,,5.0,,2.0,,,,1.0,,,,,,,,,3.0,12.0
285,2021-12-15,,,,2.0,4.0,,1.0,,,,1.0,2.0,1.0,,,,1.0,,,,12.0
286,2021-12-16,,,,,3.0,,,,1.0,3.0,1.0,,2.0,,1.0,,,,,1.0,12.0
287,2021-12-17,,,,,2.0,2.0,1.0,,,,,,2.0,,3.0,,,,,,10.0
288,2021-12-20,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,3.0
289,2021-12-21,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,5.0
290,2021-12-22,,,,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,6.0
291,2021-12-23,,,1.0,,,,,1.0,,,2.0,,,,,1.0,,,,,5.0
292,2021-12-27,,,,,1.0,,,,,,,,,,1.0,,,,,,2.0
293,2021-12-28,,,,,,,,,,,,,,,,,,1.0,,,1.0
294,2021-12-29,,,,,,,,,,,,,,,,,,,,1.0,1.0
